COD_IBGE;NRS;MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;C1;C2;C3;C4;C5;C6;C7;C8
293060;Centro-norte;Serrolândia;12344;78.41;0.59;0.56;0.721;0.508;141;10.13;149;957;503;450;430;312;224;110;87;2116
293070;Leste;Simões Filho;118047;90.25;0.675;0.641;0.813;0.591;304;4.03;489;4823;3543;3012;2131;1244;599;543;225;11297
293075;Oeste;Sítio do Mato;12050;67.79;0.564;0.455;0.774;0.509;75;6.22;88;1602;429;288;215;227;126;66;39;1390
293076;Nordeste;Sítio do Quinto;12592;68.14;0.533;0.552;0.695;0.395;125;8.72;137;1046;486;376;383;148;209;111;60;1773
293077;Norte;Sobradinho;22000;85.07;0.631;0.605;0.748;0.555;104;7.16;160;1817;875;753;595;441;280;106;77;3127
293080;Centro-Leste;Souto Soares;15899;64.48;0.592;0.533;0.734;0.53;113;7.61;145;1415;540;465;362;346;271;33;77;2094
293090;Oeste;Tabocas do Brejo Velho;11431;59.79;0.584;0.53;0.764;0.492;109;8.97;130;939;508;447;331;222;187;93;71;1859
293100;Sudoeste;Tanhaçu;20013;67.74;0.577;0.565;0.772;0.44;221;9.75;282;1837;798;647;666;471;318;194;172;3266
293105;Sudoeste;Tanque Novo;16128;60.95;0.599;0.583;0.778;0.474;153;8.79;175;1277;708;634;551;420;230;176;90;2809
293110;Centro-Leste;Tanquinho;8008;71.32;0.597;0.567;0.768;0.488;79;9.54;131;834;336;246;142;161;192;129;60;1266
293120;Sul;Taperoá;18748;54.26;0.566;0.566;0.754;0.426;128;6.09;129;1345;624;528;371;240;154;139;72;2128
293130;Centro-norte;Tapiramutá;16516;65.36;0.594;0.589;0.752;0.473;87;5.49;126;1831;507;367;163;190;113;103;53;1496
293135;Extremo Sul;Teixeira de Freitas;138341;88.33;0.685;0.683;0.8;0.588;771;6.04;987;5880;5127;4088;3081;2136;1283;1181;383;17279
293140;Centro-Leste;Teodoro Sampaio;7895;79.24;0.594;0.567;0.774;0.477;70;10.2;132;1052;281;277;196;188;112;73;61;1188
293150;Centro-Leste;Teofilândia;21482;52.28;0.566;0.571;0.737;0.431;139;6.86;190;1655;680;690;531;489;194;173;81;2838
293160;Sul;Teolândia;14836;48.95;0.555;0.541;0.756;0.418;94;5.54;93;1184;404;384;239;175;128;52;41;1423
293170;Centro-Leste;Terra Nova;12803;55.01;0.578;0.581;0.7;0.474;100;8.09;144;1295;418;368;289;259;146;104;70;1654
293180;Sudoeste;Tremedal;17029;50.39;0.528;0.545;0.749;0.36;226;12.78;280;1920;871;878;643;536;351;230;120;3629
293190;Centro-Leste;Tucano;52418;63.06;0.579;0.596;0.712;0.458;529;8.85;660;5631;1794;1596;1511;1130;816;335;235;7417
293200;Norte;Uauá;24294;48.34;0.605;0.554;0.747;0.535;291;10.67;415;2808;1096;892;809;676;493;243;252;4461
293210;Leste;Ubaíra;19750;83.04;0.582;0.581;0.759;0.447;220;9.05;254;1813;840;670;441;422;211;268;163;3015
293220;Sul;Ubaitaba;20691;74.44;0.611;0.607;0.767;0.49;188;8.11;200;2154;730;602;457;325;207;128;78;2527
293230;Sul;Ubatã;25004;71.96;0.593;0.586;0.788;0.452;216;8.2;234;2977;714;625;442;327;231;161;94;2594
293240;Centro-norte;Uibaí;13625;79.74;0.617;0.575;0.758;0.54;132;9.56;141;1168;553;430;514;392;217;107;62;2275
293245;Centro-norte;Umburanas;17000;39.96;0.515;0.469;0.705;0.413;104;6.05;97;2028;462;345;276;229;166;73;51;1602
293250;Sul;Una;24110;54.62;0.56;0.584;0.71;0.424;164;6.63;144;1837;824;695;518;349;254;100;101;2841
293260;Sudoeste;Urandi;16466;79.06;0.598;0.595;0.766;0.469;147;8.84;217;1219;745;573;511;330;252;128;124;2663
293270;Sul;Uruçuca;19837;75.8;0.616;0.607;0.758;0.507;137;7.95;185;1767;797;738;481;421;280;114;79;2910
293280;Centro-Leste;Utinga;18173;71.26;0.59;0.597;0.706;0.487;116;7.05;180;1381;643;483;388;263;172;112;81;2142
293290;Sul;Valença;88673;77.04;0.623;0.619;0.778;0.502;544;6.34;765;5980;3039;2248;2828;1310;965;442;340;11172
293300;Centro-Leste;Valente;24560;79.36;0.637;0.623;0.729;0.568;221;7.91;235;1396;902;768;675;516;335;182;116;3494
293305;Centro-norte;Várzea da Roça;13786;65.24;0.539;0.539;0.775;0.374;159;9.72;185;945;588;432;442;295;203;138;73;2171
293310;Centro-norte;Várzea do Poço;8661;79.39;0.575;0.581;0.707;0.462;115;10.51;127;392;429;325;282;225;125;69;79;1534
293315;Centro-norte;Várzea Nova;13073;61.74;0.555;0.543;0.685;0.46;105;8.36;134;1016;546;415;434;299;189;97;55;2035
